factor,horizon,quintile,sample_count,avg_forward_return,median_forward_return,win_rate,avg_forward_drawdown,drawdown_hit_rate_3pct
above200_deterioration_5d,1,5,417,-3.1745450504489055e-05,0.0013245500707621538,0.5635491606714629,0.0049097223591488765,0.02877697841726619
above200_deterioration_5d,5,1,416,0.0052544842262319405,0.006559448824497771,0.6322115384615384,0.007477962475534996,0.038461538461538464
above200_deterioration_5d,5,2,417,0.004117577434443264,0.003961793425515392,0.5851318944844125,0.008399954398032594,0.0815347721822542
above200_deterioration_5d,5,3,415,-0.0005212209773492103,0.001233912082562183,0.5228915662650603,0.011634263910961147,0.1108433734939759
above200_deterioration_5d,5,4,414,0.0036563872573896422,0.0036193309413157237,0.5821256038647343,0.011155081799648067,0.10869565217391304
above200_deterioration_5d,5,5,416,0.003218705191998885,0.007073319805337652,0.6153846153846154,0.015275858489978696,0.17548076923076922
above200_deterioration_5d,10,1,415,0.009520861542059595,0.010656130173179346,0.6433734939759036,0.012649427728505339,0.13253012048192772
above200_deterioration_5d,10,2,414,0.007686521652501454,0.009277496964797183,0.6376811594202898,0.01370679749510974,0.1642512077294686
above200_deterioration_5d,10,3,415,0.0006482572015172292,0.0028569875155370905,0.5421686746987951,0.018442581579030674,0.23132530120481928
above200_deterioration_5d,10,4,414,0.00797715487786697,0.009379637292626919,0.6207729468599034,0.016711462076543178,0.2028985507246377
above200_deterioration_5d,10,5,415,0.005885327854930681,0.009271944068657278,0.6240963855421687,0.023618207004573462,0.27710843373493976
above200_deterioration_5d,20,1,413,0.01679182376206336,0.01999971365738129,0.6682808716707022,0.019416929300317732,0.24455205811138014
above200_deterioration_5d,20,2,412,0.01694591534630581,0.022084615786260642,0.6868932038834952,0.020305352125295297,0.2815533980582524
above200_deterioration_5d,20,3,413,0.0044269350893768565,0.008972194687390855,0.5738498789346247,0.02778481070591021,0.3898305084745763
above200_deterioration_5d,20,4,412,0.0141429841444432,0.017826163809418927,0.662621359223301,0.025336344068829873,0.308252427184466
above200_deterioration_5d,20,5,413,0.012257266217915785,0.012018468567755125,0.6174334140435835,0.0355177018287452,0.4019370460048426
above200_deterioration_10d,1,1,416,0.0015107432218722848,0.0018232686585494262,0.6105769230769231,0.002032349144103406,0.002403846153846154
above200_deterioration_10d,1,2,415,0.0010146539146113913,0.0016917733726060646,0.5903614457831325,0.0022752647401439495,0.007228915662650603
above200_deterioration_10d,1,3,415,7.196068376535354e-05,0.0009946184161413463,0.5542168674698795,0.0028443094477767204,0.0
above200_deterioration_10d,1,4,415,-7.961706069532396e-05,0.001218557320836533,0.5421686746987951,0.00362474674951635,0.007228915662650603
above200_deterioration_10d,1,5,416,0.0006187648326608375,0.0018660043205314114,0.5769230769230769,0.00456703024557563,0.02403846153846154
above200_deterioration_10d,5,1,415,0.004911268531631224,0.005498049636933011,0.6289156626506024,0.007581571165335366,0.04819277108433735
above200_deterioration_10d,5,2,415,0.004803423901942439,0.003692790542199509,0.5855421686746988,0.008219554656581375,0.06987951807228916
above200_deterioration_10d,5,3,414,-1.5198545278364815e-05,0.0020431373137129727,0.5410628019323671,0.010873116150831162,0.09178743961352658
above200_deterioration_10d,5,4,414,0.0027361701055855334,0.0034356977248473086,0.5748792270531401,0.011904788105751494,0.12560386473429952
above200_deterioration_10d,5,5,415,0.003376528222853513,0.006955947606866797,0.6120481927710844,0.015408411744191655,0.18072289156626506
