combination,sample_count,avg_return_1d,standard_error_1d,ci95_low_1d,ci95_high_1d,win_rate_1d,avg_return_5d,standard_error_5d,ci95_low_5d,ci95_high_5d,win_rate_5d,avg_return_10d,standard_error_10d,ci95_low_10d,ci95_high_10d,win_rate_10d,avg_return_20d,standard_error_20d,ci95_low_20d,ci95_high_20d,win_rate_20d,reliability_score,reliability_adjusted_rank_score
MEDIUM Trend + HIGH Leadership + MEDIUM Participation,31,5.861790420885864e-06,0.0015836508924511354,-0.003228384807628942,0.0032401083884707133,0.45161290322580644,0.0016657059640588004,0.0039983008392301175,-0.006499913711906992,0.009831325640024592,0.5806451612903226,0.013966011898546685,0.0045316045416098115,0.004711240760367372,0.023220783036726,0.7419354838709677,0.025952203733479333,0.008290677458898586,0.009020381515093216,0.042884025951865454,0.7741935483870968,70.4893269920408,0.003320921904957666
MEDIUM Trend + LOW Leadership + MEDIUM Participation,45,-0.0033666962718386286,0.0017817143085842692,-0.006957505516281855,0.0002241129726045974,0.35555555555555557,0.007244539050847385,0.00383434855004563,-0.00048308268603003846,0.014972160787724807,0.6222222222222222,0.013466169798079422,0.005342284010440112,0.0026995038299690317,0.024232835766189814,0.6666666666666666,0.0062459599965631295,0.011036981108153009,-0.01599761384855684,0.0284895338416831,0.7333333333333333,75.0199300532804,0.0020251658850283932
LOW Trend + MEDIUM Leadership + MEDIUM Participation,92,-0.00011559480785251972,0.0007240583828324124,-0.0015538478379761133,0.0013226582222710737,0.5434782608695652,0.0031389877643069474,0.0022980612778706853,-0.0014258286575094367,0.007703804186123332,0.5543478260869565,0.005682438542900686,0.0029705648030491577,-0.00021822351759620204,0.011583100603397574,0.5543478260869565,0.012435962827761568,0.0037974379908705604,0.004892818757374951,0.019979106898148184,0.6413043478260869,77.65935422172447,-0.00016947097452514178
MEDIUM Trend + MEDIUM Leadership + MEDIUM Participation,243,0.0010741285844867853,0.00045707623515638563,0.00017377289902208897,0.0019744842699514816,0.5967078189300411,0.0006678985278602428,0.0013090023292231944,-0.0019105940708621435,0.0032463911265826293,0.49382716049382713,0.002383692564535008,0.0018764655949607464,-0.0013125977631031275,0.006079982892173144,0.522633744855967,0.0046143092949128516,0.003078551861938005,-0.0014498687539534596,0.010678487343779162,0.5185185185185185,76.78594415013795,-0.0010078905852923276
LOW Trend + MEDIUM Leadership + LOW Participation,55,0.0020914862166172836,0.0014735971648265915,-0.0008628982182761914,0.005045870651510759,0.509090909090909,0.005363445168479715,0.003557785685391531,-0.0017694856639737131,0.012496376000933142,0.5818181818181818,0.007661761560126815,0.004846986901736579,-0.0020558620892836494,0.01737938520953728,0.6363636363636364,0.016385500695711153,0.006482328858148054,0.0033892138287863853,0.02938178756263592,0.6545454545454545,65.45635968381484,-0.0013456924837646962
MEDIUM Trend + HIGH Leadership + LOW Participation,15,0.0007019338132505001,0.002975650713278355,-0.005680202224482034,0.007084069850983034,0.6,0.011268947022152025,0.005399584752681799,-0.00031201047568384446,0.022849904519987894,0.7333333333333333,0.012223327727457954,0.007397985312880759,-0.0036437726890201257,0.028090428143936034,0.7333333333333333,0.03315867630512491,0.01162068784192114,0.008234779717324177,0.05808257289292564,0.9333333333333333,48.05376956519015,-0.001750970131461064
LOW Trend + LOW Leadership + MEDIUM Participation,190,-0.0008963776432035174,0.000937914060321326,-0.002746502303211755,0.0009537470168047197,0.4789473684210526,0.002598811918336227,0.0023090358903923025,-0.00195598091651615,0.0071536047531886035,0.5789473684210527,0.004315223726836793,0.003542497367379647,-0.002672689147779828,0.011303136601453413,0.5473684210526316,0.012881833858941141,0.004166998769497429,0.00466203259161614,0.021101635126266144,0.5947368421052631,76.47509631009791,-0.0020439415998341585
MEDIUM Trend + LOW Leadership + LOW Participation,50,-0.0010164058648673999,0.001537846845959277,-0.004106824805004467,0.002074013075269667,0.54,0.004821369835439622,0.0034777437911452276,-0.002167417968325788,0.01181015763920503,0.58,0.0074995621358317326,0.005707722046705518,-0.003970534749644296,0.01896965902130776,0.68,0.0011338459569916652,0.010209345169046844,-0.019382601282029902,0.02165029319601323,0.54,62.39039796814006,-0.00247723243176637
MEDIUM Trend + MEDIUM Leadership + HIGH Participation,112,0.0018682978830966627,0.0006448478253167167,0.0005904888690770145,0.003146106897116311,0.6517857142857143,0.005048216850742748,0.00205284827515126,0.000980360951384462,0.009116072750101034,0.625,0.002669541987136955,0.003068540965341817,-0.0034109767825069143,0.008750060756780824,0.5357142857142857,0.0011574091442655124,0.005219279467759407,-0.00918494154493011,0.011499759833461135,0.5089285714285714,73.95697139225086,-0.0025226551232349573
LOW Trend + LOW Leadership + HIGH Participation,59,-0.00020097554617351757,0.00267993393893676,-0.005565446168097441,0.005163495075750406,0.6440677966101694,0.004354415148559933,0.004136641800385783,-0.003925973068918314,0.012634803366038179,0.6101694915254238,0.008629003243308979,0.006965701885095775,-0.005314364009430661,0.02257237049604862,0.6440677966101694,0.016399450306236005,0.00884638444295909,-0.001308512104705617,0.034107412717177626,0.6271186440677966,65.0055999884476,-0.0034546342099005213
LOW Trend + HIGH Leadership + HIGH Participation,8,0.0038104461827619756,0.0022989348304820593,-0.0016256708702272475,0.009246563235751199,0.625,0.0041930602937258876,0.006764727985244112,-0.011802979555610731,0.020189100143062508,0.625,0.0036605730926528,0.00581280365428915,-0.010084523398026481,0.01740566958333208,0.5,0.014668044577656213,0.01136740390787619,-0.012211594380558414,0.041547683535870836,0.75,35.734326635772504,-0.0036036365307116876
LOW Trend + HIGH Leadership + MEDIUM Participation,8,0.00044514217639017497,0.004469819307778643,-0.010124300959020872,0.011014585311801224,0.625,0.0005748458995335007,0.006805825740347816,-0.015518374698207358,0.01666806649727436,0.625,0.0005155047583736627,0.005046062979251297,-0.011416538137428489,0.012447547654175814,0.25,-0.004601727478721899,0.006966148347001444,-0.021074050800234497,0.0118705958427907,0.375,32.65752928068284,-0.0037283592850710316
MEDIUM Trend + MEDIUM Leadership + LOW Participation,85,0.0002613831567710779,0.0007350925796363112,-0.0012004290532158012,0.001723195366757957,0.5529411764705883,0.0008082477959466888,0.0024802652370776767,-0.004124031631169776,0.0057405272230631535,0.4823529411764706,3.941996348796524e-05,0.003398780532986466,-0.006719427860337771,0.006798267787313701,0.5294117647058824,0.004929196927575508,0.005146565429686185,-0.005305312837621428,0.015163706692772444,0.47058823529411764,67.21134315573313,-0.004516217717313555
LOW Trend + LOW Leadership + LOW Participation,106,-0.00018674628928263106,0.0015308856043657246,-0.003222209648051952,0.00284871706948669,0.5188679245283019,-0.0035470282224326364,0.0036803489346908347,-0.010844480303032955,0.003750423858167682,0.5094339622641509,0.0004992141118324769,0.0050727144020175545,-0.009559041484088041,0.010557469707752995,0.5566037735849056,0.010559543636029076,0.005583540244831269,-0.0005115852432717033,0.021630672515329855,0.5849056603773585,68.48330592606489,-0.006546347623147466
LOW Trend + HIGH Leadership + LOW Participation,7,0.006287082168693086,0.003141720768338481,-0.0014004316123426511,0.013974595949728823,0.7142857142857143,0.01812351704251926,0.007202757997129889,0.0004990031384128658,0.03574803094662565,0.8571428571428571,0.009867436086467044,0.012896844944561742,-0.02169000665076029,0.041424878823694375,0.8571428571428571,0.02261507002331009,0.01419717563913602,-0.012124167300878619,0.0573543073474988,0.5714285714285714,36.23259718576139,-0.007858852739334832
HIGH Trend + LOW Leadership + MEDIUM Participation,1,0.0009783282930726,,,,1.0,0.0083186300218509,,,,1.0,-0.0027269230740846,,,,0.0,-0.0138916785297443,,,,0.0,,
