date,index_close,trend_regime,relative_leadership,participation_impulse,fwd_return_1d,fwd_return_5d,fwd_return_10d,fwd_return_20d,trend_regime_level,relative_leadership_level,participation_impulse_level,combo_label,market_state
2019-11-19,655.1966071428571,0.0560162985270659,0.1837369899446066,0.0603733235672652,-0.0004236051283407,-0.0010371750464214,0.0008435308812704,0.0066166071743458,MEDIUM,MEDIUM,MEDIUM,MEDIUM Trend + MEDIUM Leadership + MEDIUM Participation,Mixed Terrain
2019-11-20,654.9190625,0.0590365655774036,0.1794070010314465,0.0938805295420143,-0.0047208668846552,0.0034300176269055,0.005237561048131,0.0066235011182882,MEDIUM,MEDIUM,MEDIUM,MEDIUM Trend + MEDIUM Leadership + MEDIUM Participation,Mixed Terrain
2019-11-21,651.8272767857143,0.0464509657354932,0.134059062548434,-0.0603730194939133,-0.0045143696658795,0.0125129007184541,0.0068508645099412,0.0137710396686347,MEDIUM,MEDIUM,MEDIUM,MEDIUM Trend + MEDIUM Leadership + MEDIUM Participation,Mixed Terrain
2019-11-22,648.8846874999999,0.0331510655551453,0.1329131876904676,-0.2267487767847924,0.0097842334824926,0.0136670634784947,0.00576827670721,0.0168760036537969,MEDIUM,MEDIUM,MEDIUM,MEDIUM Trend + MEDIUM Leadership + MEDIUM Participation,Mixed Terrain
2019-11-25,655.2335267857143,0.0494364408800609,0.2982534302878853,0.6606416636520883,-0.0010934623840149,0.0005535103998841,-0.0049889519351435,0.0125918846681638,MEDIUM,MEDIUM,HIGH,MEDIUM Trend + MEDIUM Leadership + HIGH Participation,Mixed Terrain
2019-11-26,654.5170535714286,0.0387131252930152,0.1347820724228026,-0.0428941589013753,0.0040463313258096,0.0018826585741857,-0.0132265597685098,0.0095696922662849,MEDIUM,MEDIUM,MEDIUM,MEDIUM Trend + MEDIUM Leadership + MEDIUM Participation,Mixed Terrain
2019-11-27,657.1654464285714,0.0421501154721205,0.1821385565717404,0.2532359841817524,0.0042882357440703,0.0018013647085228,-0.0149414700826179,0.0067554063698624,MEDIUM,MEDIUM,MEDIUM,MEDIUM Trend + MEDIUM Leadership + MEDIUM Participation,Mixed Terrain
2019-11-28,659.9835267857143,0.0440072276953259,0.2575876706483762,-0.4721883798482854,-0.0033796162796541,-0.0055920632759298,-0.0115512217533028,0.0067217586802592,MEDIUM,MEDIUM,LOW,MEDIUM Trend + MEDIUM Leadership + LOW Participation,Mixed Terrain
2019-11-29,657.7530357142857,0.0412724498581699,0.1696690247330716,0.0175139368811675,-0.0032790884116568,-0.0077922890620313,-6.3527968731103e-05,0.0152374819359306,MEDIUM,MEDIUM,MEDIUM,MEDIUM Trend + MEDIUM Leadership + MEDIUM Participation,Mixed Terrain
2019-12-02,655.5962053571429,0.0293410083688898,0.1137669497241327,-0.3480498862237269,0.000233497930421,-0.00553939622161,0.0018150735886193,0.016277713409039,MEDIUM,LOW,LOW,MEDIUM Trend + LOW Leadership + LOW Participation,Mixed Terrain
2019-12-03,655.7492857142857,0.0224433857439314,0.0606906274769817,-0.3949819294007161,0.0039648618973495,-0.0150808262957642,0.00576821062928,0.0187590749513368,MEDIUM,LOW,LOW,MEDIUM Trend + LOW Leadership + LOW Participation,Mixed Terrain
2019-12-04,658.3492410714285,0.0287188948445368,0.1521577438306372,0.3168421873728794,-0.0031235456810502,-0.0167127290708095,0.0013787189455118,0.0180095331783236,MEDIUM,MEDIUM,HIGH,MEDIUM Trend + MEDIUM Leadership + HIGH Participation,Mixed Terrain
2019-12-05,656.2928571428572,0.0288185032999202,0.1237646483818397,-0.0396704512264016,-0.0055847373232769,-0.0059926698664578,0.0068730885602028,0.0215561432722759,MEDIUM,LOW,MEDIUM,MEDIUM Trend + LOW Leadership + MEDIUM Participation,Mixed Terrain
2019-12-06,652.6276339285714,0.0118681381663552,0.0329371920755317,-0.1542485634900657,-0.0010159479614653,0.0077894588079685,0.0110440219718925,0.0100309470116648,MEDIUM,LOW,MEDIUM,MEDIUM Trend + LOW Leadership + MEDIUM Participation,Mixed Terrain
2019-12-09,651.9645982142857,0.0132139431327139,0.0103481323153868,-0.3057230306142012,-0.0093633206283727,0.0073954360608017,0.0176689863268346,0.0148987877094279,MEDIUM,LOW,LOW,MEDIUM Trend + LOW Leadership + LOW Participation,Mixed Terrain
2019-12-10,645.8600446428571,-0.0025587757580989,0.0134629096144752,-0.2177427235534561,0.0023014025111174,0.0211682719574155,0.0231018094988926,0.0219261207975385,LOW,LOW,MEDIUM,LOW Trend + LOW Leadership + MEDIUM Participation,Mixed Terrain
2019-12-11,647.3464285714286,-0.001569851154079,0.03544892783298,0.2564225372708402,0.007744666412883,0.0183989445924843,0.0220259769277875,0.0314940940211962,LOW,LOW,MEDIUM,LOW Trend + LOW Leadership + MEDIUM Participation,Mixed Terrain
2019-12-12,652.3599107142857,0.0116781993647652,0.1462539425066264,0.5986640473662882,0.008203047424933,0.0129433234913189,0.0184865223527055,0.0276556365207583,MEDIUM,MEDIUM,HIGH,MEDIUM Trend + MEDIUM Leadership + HIGH Participation,Mixed Terrain
2019-12-13,657.7112500000001,0.0265913513204222,0.2264088094833051,1.0073235007925478,-0.0014065279949435,0.0032294078246992,0.0153019820084963,0.0247622097517279,MEDIUM,MEDIUM,HIGH,MEDIUM Trend + MEDIUM Leadership + HIGH Participation,Mixed Terrain
2019-12-16,656.7861607142858,0.0225988307081577,0.1803651124895984,-0.2006223508839779,0.0041803941133806,0.0101981306429235,0.0144364366255866,0.0315503456019943,MEDIUM,MEDIUM,MEDIUM,MEDIUM Trend + MEDIUM Leadership + MEDIUM Participation,Mixed Terrain
2019-12-17,659.5317857142857,0.0332110108585053,0.2321815558635338,-0.1699552384817824,-0.0004167594002022,0.001893456342676,0.0129163600368011,0.0331993502966663,MEDIUM,MEDIUM,MEDIUM,MEDIUM Trend + MEDIUM Leadership + MEDIUM Participation,Mixed Terrain
